MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
3580435;C2073-Canina-AV ARCENTALES 29;20;SAN BLAS-CANILLEJAS;201;SIMANCAS;01/01/04;AVENIDA;ARCENTALES;29;20128779;CANINAS;4;ACTIVO
3580438;C2076-Canina-C ARCOS DE JALON 16;20;SAN BLAS-CANILLEJAS;204;ARCOS;01/01/04;CALLE;ARCOS DEL JALON;16;11135550;CANINAS;2;ACTIVO
3568735;C1057-Canina;10;LATINA;101;LOS CARMENES;03/10/16;;;;;CANINAS DE JUEGOS;8;ACTIVO
3580440;C2078-Canina-C ARCOS DE JALON 13;20;SAN BLAS-CANILLEJAS;204;ARCOS;01/05/16;CALLE;ARCOS DEL JALON;13;31032028;CANINAS;1;ACTIVO
16829;C0350-Canina;03;RETIRO;032;ADELFAS;01/07/14;CALLE;ARREGUI Y ARUEJ;16;31005668;CANINAS DE JUEGOS;4;ACTIVO
5003498;C0604 - Canina - C/ MARTIRES DE PARACUELLOS Nº2;06;TETUAN;062;CUATRO CAMINOS;01/08/13;CALLE;GENERAL RAMIREZ DE MADRID;2;31031752;CANINAS;1;ACTIVO
3569056;C2171-Canina-C BANDE 14;21;BARAJAS;215;CORRALEJOS;01/08/13;CALLE;BANDE;14;20174936;CANINAS;1;ACTIVO
3569057;C2172-Canina-AV LOGROÑO 98;21;BARAJAS;213;CASCO H.BARAJAS;01/08/13;AVENIDA;LOGROÑO;98;20174936;CANINAS;3;ACTIVO
3569399;C1571-Canina-C BATERIAS 9;15;CIUDAD LINEAL;154;CONCEPCION;01/01/04;CALLE;BATERIAS;9;20128608;CANINAS;2;INACTIVO
3569400;C1572-Canina-C CANAL DE PANAMA 17;15;CIUDAD LINEAL;155;SAN PASCUAL;01/01/04;CALLE;CANAL DE PANAMA;17;11110898;CANINAS;4;ACTIVO
3569404;C1573-Canina-C VIRGEN DE LLUC 44;15;CIUDAD LINEAL;153;QUINTANA;01/01/04;CALLE;VIRGEN DE LLUC;44;11109351;CANINAS;6;ACTIVO
3569402;C1574-Canina-C SIENA 59;15;CIUDAD LINEAL;153;QUINTANA;01/01/04;CALLE;SIENA;59;11109287;CANINAS;1;ACTIVO
3569403;C1575-Canina-C VIRGEN DE NURIA 2;15;CIUDAD LINEAL;154;CONCEPCION;01/01/04;CALLE;VIRGEN DE NURIA;2;31042148;CANINAS;3;ACTIVO
3570066;C1576-Canina-C ARTURO SORIA 55;15;CIUDAD LINEAL;154;CONCEPCION;01/01/04;CALLE;ARTURO SORIA;55;11110567;CANINAS;1;ACTIVO
3570068;C1579-Canina-C CALERUEGA 28;15;CIUDAD LINEAL;159;COSTILLARES;01/01/04;CALLE;CALERUEGA;28;11112751;CANINAS;2;ACTIVO
3570069;C1577-Canina-C NICOLAS SALMERON 3;15;CIUDAD LINEAL;152;PUEBLO NUEVO;01/01/04;CALLE;NICOLAS SALMERON;3;20076608;CANINAS;4;ACTIVO
3570071;C1581-Canina-C SAUZAL 4;15;CIUDAD LINEAL;152;PUEBLO NUEVO;01/01/04;CALLE;SAUZAL;4;11107431;CANINAS;1;ACTIVO
3570073;C1583-Canina-C GOLFO DE SALONICA 11;15;CIUDAD LINEAL;159;COSTILLARES;01/01/04;CALLE;GOLFO DE SALONICA;11;20134985;CANINAS;2;ACTIVO
3570074;C1584-Canina-C LUIS RUIZ 27;15;CIUDAD LINEAL;152;PUEBLO NUEVO;01/01/04;CALLE;LUIS RUIZ;27;31011818;CANINAS;3;ACTIVO
3570075;C1585-Canina-C ANTONIO PIRALA 4;15;CIUDAD LINEAL;151;VENTAS;01/01/04;CALLE;ANTONIO PIRALA;4;20181770;CANINAS;3;ACTIVO
3570067;C1578-Canina-C PEPE ISBERT 11;15;CIUDAD LINEAL;152;PUEBLO NUEVO;01/01/04;CALLE;PEPE ISBERT;11;20121338;CANINAS;2;ACTIVO
3570070;C1580-Canina-AV MARQUES DE CORBERA 2;15;CIUDAD LINEAL;151;VENTAS;01/01/04;AVENIDA;MARQUES DE CORBERA;2;20104438;CANINAS;3;ACTIVO
3570072;C1582-Canina-C GERARDO CORDON 46;15;CIUDAD LINEAL;151;VENTAS;01/01/04;CALLE;GERARDO CORDON;46;31011820;CANINAS;3;ACTIVO
3575532;C1671-Canina-CARRETERA ESTACION DE HORTALEZA 5;16;HORTALEZA;165;APOSTOL SANTIAGO;01/01/04;CARRETERA;ESTACION DE HORTALEZA;5;20184086;CANINAS;6;ACTIVO
3575533;C1672-Canina-C MACUAJE 5;16;HORTALEZA;164;PINAR DEL REY;01/01/04;CALLE;MACUAJE;5;11118671;CANINAS;4;ACTIVO
3575535;C1674-Canina-AV MANOTERAS 34;16;HORTALEZA;166;VALDEFUENTES;01/01/04;AVENIDA;MANOTERAS;34;20040094;CANINAS;8;ACTIVO
3575536;C1675-Canina-C FLORENCIO CASTILLO 38;16;HORTALEZA;162;PIOVERA;01/01/04;CALLE;FLORENCIO CASTILLO;38;20055118;CANINAS;2;ACTIVO
3575538;C1677-Canina-C MONOVAR 2;16;HORTALEZA;165;APOSTOL SANTIAGO;01/01/04;CALLE;MONOVAR;2;20121908;CANINAS;2;ACTIVO
3575539;C1678-Canina-C SANTA ADELA 14;16;HORTALEZA;164;PINAR DEL REY;01/01/04;CALLE;SANTA ADELA;14;31044514;CANINAS;4;ACTIVO
3575534;C1673-Canina-C SOMONTIN 37;16;HORTALEZA;165;APOSTOL SANTIAGO;01/01/04;CALLE;SOMONTIN;37;11121787;CANINAS;7;ACTIVO
3575537;C1676-Canina-C CAPITAN CORTES 14;16;HORTALEZA;164;PINAR DEL REY;01/01/04;CALLE;CAPITAN CORTES;14;11119838;CANINAS;2;ACTIVO
3580432;C2070-Canina-C DEYANIRA 19;20;SAN BLAS-CANILLEJAS;206;REJAS;01/01/04;CALLE;DEYANIRA;19;31020283;CANINAS;2;ACTIVO
3580433;C2071-Canina-C GONZALO TORRENTE BALLESTER 4;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;01/01/04;CALLE;GONZALO TORRENTE BALLESTER;4;31016093;CANINAS;2;ACTIVO
3580434;C2072-Canina-C GONZALO TORRENTE BALLESTER 2;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;01/01/04;CALLE;GONZALO TORRENTE BALLESTER;2;31016091;CANINAS;3;ACTIVO
3580436;C2074-Canina-AV GUADALAJARA 110;20;SAN BLAS-CANILLEJAS;204;ARCOS;01/01/04;AVENIDA;GUADALAJARA;110;20096838;CANINAS;3;ACTIVO
3580437;C2075-Canina-AV CANILLEJAS A VICALVARO 90;20;SAN BLAS-CANILLEJAS;204;ARCOS;01/01/04;AVENIDA;CANILLEJAS A VICALVARO;90;20099741;CANINAS;3;ACTIVO
3580439;C2077-Canina-C CIRCE 59;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;01/01/04;CALLE;CIRCE;59;31011562;CANINAS;8;ACTIVO
3580441;C2079-Canina-AV CANILLEJAS A VICALVARO 167;20;SAN BLAS-CANILLEJAS;205;ROSAS;01/09/16;AVENIDA;CANILLEJAS A VICALVARO;167;20099671;CANINAS;3;ACTIVO
3759277;C2173-Canina-C BANDE 36;21;BARAJAS;215;CORRALEJOS;30/11/17;CALLE;BANDE;36;20138919;CANINAS DE JUEGOS;6;ACTIVO
4990482;C0453-Canina;04;SALAMANCA;044;GUINDALERA;14/01/19;AVENIDA;BRASILIA;4;31026006;CANINAS DE JUEGOS;12;ACTIVO
4991235;C2080-Canina-C NAVARIDAS 11;20;SAN BLAS-CANILLEJAS;206;REJAS;11/02/14;CALLE;NAVARIDAS;11;20090546;CANINAS;7;ACTIVO
4996483;C0705 - Canina - PARQUE ENRIQUE HERREROS;07;CHAMBERI;076;VALLEHERMOSO;01/08/13;CALLE;BRAVO MURILLO;49 A;31044176;CANINAS;1;ACTIVO
4996484;C0703 - Canina - PZA. TENIENDE DE ALCALDE PÉREZ PILLADO;07;CHAMBERI;076;VALLEHERMOSO;01/08/13;CALLEJON;MAGALLANES;3;31044163;CANINAS;1;ACTIVO
4996494;C1776-Canina - CALLE DEL ESTRONCIO 15A;17;VILLAVERDE;172;SAN CRISTOBAL;02/11/18;CALLE;ESTRONCIO;17;11127566;CANINAS DE JUEGOS;8;ACTIVO
4996493;C1272-Canina - CALLE DE SEGURA 74;12;USERA;121;ORCASITAS;01/08/13;CALLE;SEGURA;74;11079509;CANINAS;0;ACTIVO
4996495;C1179-Canina - CALLE DEL PINGÜINO 12;11;CARABANCHEL;114;VISTA ALEGRE;01/08/13;CALLE;PINGÜINO;12;11074939;CANINAS;0;ACTIVO
4996497;C1271-Canina - CALLE DEL CORINDON 10;12;USERA;123;SAN FERMIN;01/08/13;CALLE;CORINDON;10;31005121;CANINAS;0;ACTIVO
4996498;C1270-Canina - RONDA DE LAS COOPERATIVAS 2;12;USERA;121;ORCASITAS;01/08/13;RONDA;COOPERATIVAS;2;11080736;CANINAS;0;ACTIVO
4996499;C1171-Canina - PARQUE EMPERATRIZ MARIA DE AUSTRIA, VIA LUSITANA, 3;11;CARABANCHEL;117;ABRANTES;01/08/13;CALLE;CARRANQUE;22;31001254;CANINAS DE JUEGOS;9;ACTIVO
4996500;C1174-Canina - CAMINO DE LAS CRUCES 58;11;CARABANCHEL;116;BUENAVISTA;01/08/13;CAMINO;CRUCES;58;20145404;CANINAS;0;ACTIVO
4996514;C1970 - Canina - CALLE DE MINERVA 161;19;VICALVARO;193;VALDERRIVAS;01/08/13;CALLE;MINERVA;161;20180448;CANINAS;0;ACTIVO
4996516;C1980 - Canina - CALLE DE AMBROZ 2B;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;CALLE;AMBROZ;2B;11132724;CANINAS;0;ACTIVO
4996517;C1973 - Canina - PLAZA DE JUAN ROF CARBALLO 4;19;VICALVARO;192;VALDEBERNARDO;01/08/13;PLAZA;JUAN ROF CARBALLO;4;20144607;CANINAS;0;ACTIVO
4996518;C1975 - Canina - CALLE DE LA LADERA DE LOS ALMENDROS 14G;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CALLE;LADERA DE LOS ALMENDROS;14G;20151606;CANINAS;0;ACTIVO
4996519;C1976 - Canina -  AVENIDA DE DAROCA 296;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;AVENIDA;DAROCA;301;31041869;CANINAS;0;ACTIVO
4996520;C1978 - Canina - CAMINO  VIEJO DE VICALVARO 16;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CAMINO;VIEJO DE VICALVARO;16;20108197;CANINAS;0;ACTIVO
4996521;C1972 - Canina - CALLE DE LOS PINILLAS 11;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CALLE;PINILLAS;11;20124628;CANINAS;0;ACTIVO
4996522;C1979 - Canina - CALLE DEL MERCURIO 69;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;CALLE;MERCURIO;69;11132675;CANINAS;0;ACTIVO
4996523;C1974 - Canina - PLAZA DE ROSA CHACEL 10;19;VICALVARO;192;VALDEBERNARDO;01/08/13;PLAZA;ROSA CHACEL;10;20144587;CANINAS;0;ACTIVO
4996524;C1977 - Canina - CALLE DE LA LADERA DE LOS ALMENDROS 46;19;VICALVARO;192;VALDEBERNARDO;01/08/13;CALLE;LADERA DE LOS ALMENDROS;46;31010689;CANINAS;0;ACTIVO
4996525;C1971 - Canina - PLAZA DE JUAN CARLOS ONETTI 3;19;VICALVARO;192;VALDEBERNARDO;01/08/13;PLAZA;JUAN CARLOS ONETTI;3;20144590;CANINAS;0;ACTIVO
4996526;C1273-Canina - AVENIDA DE RAFAELA YBARRA 33;12;USERA;126;ZOFIO;01/08/13;AVENIDA;RAFAELA YBARRA;33;11086585;CANINAS;0;ACTIVO
4996527;C1772-Canina - CALLE DE MENASALBAS 8;17;VILLAVERDE;175;LOS ANGELES;01/08/13;CALLE;MENASALBAS;8;11129131;CANINAS;0;ACTIVO
4996528;C1773-Canina - AVENIDA DE LOS ROSALES 129;17;VILLAVERDE;173;BUTARQUE;01/08/13;AVENIDA;LOS ROSALES;129;31051872;CANINAS;0;ACTIVO
4996529;C1770-Canina - CALLE DE LA COALICION 35A;17;VILLAVERDE;174;LOS ROSALES;01/08/13;CALLE;COALICION;35A;20079680;CANINAS;0;ACTIVO
4996530;C1774-Canina - CALLE DE LOS AFLUENTES 12;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;01/08/13;CALLE;AFLUENTES;12;20177587;CANINAS;0;ACTIVO
4996531;C1775-Canina - CALLE DE ALCOCER 1;17;VILLAVERDE;175;LOS ANGELES;01/08/13;CALLE;ALCOCER;1;11128272;CANINAS;0;ACTIVO
4996532;C1771-Canina - PLAZA DE GOMEZ ACEBO 1;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;01/08/13;PLAZA;GOMEZ ACEBO;1;11123596;CANINAS;0;ACTIVO
4996533;C1172-Canina - PASEO DE MARCELINO CAMACHO 6;11;CARABANCHEL;114;VISTA ALEGRE;01/08/13;PASEO;MARCELINO CAMACHO;6;20022926;CANINAS;0;ACTIVO
4996534;C1370 - Canina - RONDA  SUR 221;13;PUENTE DE VALLECAS;131;ENTREVIAS;01/08/13;RONDA;SUR;221;20084214;CANINAS;0;ACTIVO
4996535;C1173-Canina - CALLE DE BALEARES 35;11;CARABANCHEL;111;COMILLAS;01/08/13;CALLE;BALEARES;35;11069421;CANINAS;0;ACTIVO
4996536;C1175-Canina - CALLE DEL FAROLILLO 2;11;CARABANCHEL;113;SAN ISIDRO;01/08/13;CALLE;FAROLILLO;2;20064485;CANINAS;0;ACTIVO
4996537;C1176-Canina- CALLE DE PORTALEGRE 28;11;CARABANCHEL;112;OPAÑEL;01/08/13;CALLE;PORTALEGRE;28;11070274;CANINAS;0;ACTIVO
4996539;C1177-Canina - CALLE DE ANTONIO ROMERO 14;11;CARABANCHEL;117;ABRANTES;01/08/13;CALLE;ANTONIO ROMERO;14;31000974;CANINAS;0;ACTIVO
4996540;C1178-Canina - CALLE DEL CONDE DE MORPHY 6;11;CARABANCHEL;115;PUERTA BONITA;01/08/13;CALLE;CONDE DE MORPHY;6;31005845;CANINAS;0;ACTIVO
4996542;C1180-Canina - CALLE DE EL TOBOSO 25;11;CARABANCHEL;113;SAN ISIDRO;14/09/17;CALLE;EL TOBOSO;25;11073134;CANINAS DE JUEGOS;7;ACTIVO
4996545;C1870 - Canina - CAMINO DE LA SUERTE 28;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/08/13;CAMINO;SUERTE;28;20079524;CANINAS;0;ACTIVO
4996546;C1871 - Canina - CALLE DE VILLAR DEL POZO 4E;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/08/13;CALLE;VILLAR DEL POZO;4E;20180003;CANINAS;0;ACTIVO
4996547;C1872 - Canina - CALLE DE CABEZA MESADA 36;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/08/13;CALLE;CABEZA MESADA;36;31025427;CANINAS;0;ACTIVO
4996548;C1470 - Canina - CALLE DE LA HACIENDA DE PAVONES 209;14;MORATALAZ;146;VINATEROS;01/08/13;CALLE;HACIENDA DE PAVONES;209;31044614;CANINAS;0;ACTIVO
4996549;C1471 - Canina - CALLE DEL CAMINO DE LOS VINATEROS 107C;14;MORATALAZ;143;MARROQUINA;01/08/13;CALLE;CAMINO DE LOS VINATEROS;107C;31046138;CANINAS;0;ACTIVO
4996550;C1473 - Canina - CALLE DE VALDEBERNARDO 18B;14;MORATALAZ;141;PAVONES;01/08/13;CALLE;VALDEBERNARDO;18B;31003522;CANINAS;0;ACTIVO
4996551;C1472 - Canina - CALLE DE LA ENCOMIENDA DE PALACIOS 170P;14;MORATALAZ;145;FONTARRON;01/08/13;CALLE;ENCOMIENDA DE PALACIOS;170P;31003513;CANINAS;0;ACTIVO
4996552;C1473 - Canina - AVENIDA DE MORATALAZ 56;14;MORATALAZ;145;FONTARRON;01/08/13;AVENIDA;MORATALAZ;56;20152924;CANINAS;0;INACTIVO
4996553;C1474 - Canina -  CALLE DEL ARROYO FONTARRON 363;14;MORATALAZ;141;PAVONES;01/08/13;CALLE;ARROYO FONTARRON;361;11101201;CANINAS;0;ACTIVO
4996554;C1371 - Canina - CALLE DE FERNANDO GIRALDEZ 32;13;PUENTE DE VALLECAS;136;NUMANCIA;01/08/13;CALLE;FERNANDO GIRALDEZ;32;31018768;CANINAS;0;ACTIVO
4996556;C1372 - Canina - CALLE DE TANGER 9;13;PUENTE DE VALLECAS;135;PORTAZGO;01/08/13;CALLE;TANGER;9;11098004;CANINAS;0;ACTIVO
4996558;C1373 - Canina - CALLE DE LOS EXTREMEÑOS 5;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;01/08/13;CALLE;EXTREMEÑOS;5;20139499;CANINAS;6;INACTIVO
4996559;C1374 - Canina - RONDA  SUR 6D;13;PUENTE DE VALLECAS;131;ENTREVIAS;01/08/13;RONDA;SUR;6D;31060375;CANINAS;5;ACTIVO
4996562;C1377 - Canina - CALLE DE VIRIDIANA 13F;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;01/08/13;CALLE;VIRIDIANA;13F;20081150;CANINAS;0;ACTIVO
4996563;C1378 - Canina - AVENIDA DE LAS PALOMERAS 4G;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;01/08/13;CALLE;JUAN MAZO;1;31023372;CANINAS;0;INACTIVO
4996575;C1376 - Canina - CALLE DEL TROLE 9G;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;01/08/16;CALLE;TROLE;9G;31033993;CANINAS;0;ACTIVO
4996578;C1170-Canina - AVENIDA DE ABRANTES 305;11;CARABANCHEL;115;PUERTA BONITA;01/08/13;AVENIDA;ABRANTES;305;31045991;CANINAS;0;ACTIVO
4996586;C0201 - Canina;02;ARGANZUELA;024;LEGAZPI;;CALLE;PUERTO DE BEJAR;7;20000295;CANINAS;0;ACTIVO
4996591;C0202 - Canina;02;ARGANZUELA;025;DELICIAS;;CALLE;TOMAS BRETON;49 A;11009598;CANINAS;0;ACTIVO
4996597;C0203 - Canina;02;ARGANZUELA;021;IMPERIAL;;CALLE;COBOS DE SEGOVIA;7;31043490;CANINAS;0;ACTIVO
4996643;C0204 - Canina;02;ARGANZUELA;022;ACACIAS;;CALLE;ARGANDA;40;20065135;CANINAS;0;ACTIVO
4996660;C0205 - Canina;02;ARGANZUELA;022;ACACIAS;;CALLE;ARGANDA;40;20065135;CANINAS;0;ACTIVO
4996676;C0206 - Canina;02;ARGANZUELA;026;PALOS DE MOGUER;;CALLE;CANARIAS;19;31009571;CANINAS;0;ACTIVO
4996913;C0302 - Canina;03;RETIRO;035;LOS JERONIMOS;;CALLE;POETA ESTEBAN DE VILLEGAS;1;31014460;CANINAS;0;ACTIVO
4996986;C0303 - Canina;03;RETIRO;031;PACIFICO;;PASEO;INFANTA ISABEL;2;31000002;CANINAS;0;ACTIVO
4997005;C0304 - Canina;03;RETIRO;036;NIÑO JESUS;;CALLE;DOCE DE OCTUBRE;30;20104941;CANINAS;0;ACTIVO
4997032;C0305 - Canina;03;RETIRO;036;NIÑO JESUS;;CALLE;ANUNCIACION;1;20008564;CANINAS;0;ACTIVO
4997071;C0306 - Canina;03;RETIRO;033;ESTRELLA;;CALLE;VAQUERIAS;8;20150583;CANINAS;0;ACTIVO
4997089;C0307 - Canina;03;RETIRO;033;ESTRELLA;;CALLE;VAQUERIAS;8;20150583;CANINAS;0;ACTIVO
4997144;C0401 - Canina;04;SALAMANCA;043;FUENTE DEL BERRO;;PLAZA;AMERICA ESPAÑOLA;2;11016697;CANINAS;0;ACTIVO
4997171;C0402 - Canina;04;SALAMANCA;044;GUINDALERA;;AVENIDA;AMERICA;32;11018130;CANINAS;0;ACTIVO
4997200;C0403 - Canina;04;SALAMANCA;044;GUINDALERA;;CALLE;BERLIN;5;11017903;CANINAS;0;ACTIVO
4997212;C0404 - Canina;04;SALAMANCA;044;GUINDALERA;;CALLE;FLORESTAN AGUILAR;2;11017052;CANINAS;0;ACTIVO
4997227;C0501 - Canina;05;CHAMARTIN;054;HISPANOAMERICA;;CALLE;COLOMBIA;61;11025089;CANINAS;0;ACTIVO
4997300;C1001 - Canina;10;LATINA;104;ALUCHE;21/11/16;CALLE;VALMOJADO;2;31044411;CANINAS;0;ACTIVO
4997902;C0802 - Canina;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;CALLE;VALLE DE MENA;20;31028906;CANINAS;0;ACTIVO
4997956;C0901 - Canina;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;;CALLE;VALLE DE ARAN;7;20097388;CANINAS;0;ACTIVO
4997993;C0902 - Canina;09;MONCLOA-ARAVACA;097;ARAVACA;;AVENIDA;EUROPA;34 A;20059124;CANINAS;0;ACTIVO
4997994;C0903 - Canina;09;MONCLOA-ARAVACA;095;VALDEMARIN;;AVENIDA;VALDEMARIN;67;20166322;CANINAS;0;ACTIVO
4997995;C0904 - Canina;09;MONCLOA-ARAVACA;094;VALDEZARZA;;CALLE;OFELIA NIETO;57;11055424;CANINAS;0;ACTIVO
4997996;C0906 - Canina;09;MONCLOA-ARAVACA;094;VALDEZARZA;;CALLE;VALDERREY;14;11054866;CANINAS;0;ACTIVO
4997997;C1002 - Canina;10;LATINA;107;LAS AGUILAS;;AVENIDA;LAS AGUILAS;144;31032996;CANINAS;0;ACTIVO
4997998;C0801 - Canina;08;FUENCARRAL-EL PARDO;084;EL PILAR;;CALLE;FERMIN CABALLERO;65;11045724;CANINAS;0;ACTIVO
4997999;C0905 - Canina;09;MONCLOA-ARAVACA;097;ARAVACA;;CALLE;GOLONDRINA;36;31042917;CANINAS;0;ACTIVO
4998010;C1003 - Canina;10;LATINA;103;LUCERO;;CALLE;ANTOLIN GARCIA;1;31020572;CANINAS;0;ACTIVO
4998023;C1004 - Canina;10;LATINA;102;PUERTA DEL ANGEL;25/01/18;CALLE;CARAMUEL;58;11061206;CANINAS;0;ACTIVO
4998027;C1274-Canina - CALLE DE MARCELO USERA 157;12;USERA;126;ZOFIO;01/08/13;CALLE;MARCELO USERA;157;11085143;CANINAS;0;ACTIVO
4998029;C1981 - Canina - CALLE DE LARDERO 11;19;VICALVARO;191;CASCO H.VICALVARO;01/08/13;CALLE;LARDERO;11;11133117;CANINAS DE JUEGOS;6;ACTIVO
4998041;C0301 - Canina;03;RETIRO;033;ESTRELLA;;CALLE;JUAN ESPLANDIU;4;11013635;CANINAS;0;ACTIVO
5000253;C1005 - Canina;10;LATINA;107;LAS AGUILAS;01/03/17;CALLE;FRAY JOSE CERDEIRIÑA;22;11067294;CANINAS;0;ACTIVO
5003208;C0803 - Canina;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;CALLE;JOAQUIN LORENZO;32;11044477;CANINAS;0;ACTIVO
5003319;C1006 - Canina;10;LATINA;107;LAS AGUILAS;;CALLE;FRAY JOSE CERDEIRIÑA;22;11067294;CANINAS;0;ACTIVO
5003401;C0701 - Canina - PZA. CONDE DEL VALLE SUCHILL Nº1;07;CHAMBERI;072;ARAPILES;01/08/13;PLAZA;CONDE DEL VALLE DE SUCHIL;1;20013622;CANINAS;1;ACTIVO
5003402;C0702 - Canina - C/ DOMENICO SCARLATTI Nº4;07;CHAMBERI;076;VALLEHERMOSO;01/08/13;CALLE;DOMENICO SCARLATTI;4;20145920;CANINAS;1;ACTIVO
5003407;C0704 - Canina - C/ FERNANDEZ DE LA HOZ Nº4;07;CHAMBERI;075;RIOS ROSAS;01/08/13;CALLE;FERNANDEZ DE LA HOZ;53;11041613;CANINAS;1;ACTIVO
5003417;C0706 - Canina - C/ GALILEO Nº35;07;CHAMBERI;072;ARAPILES;01/08/13;CALLE;GALILEO;35;31044128;CANINAS;1;ACTIVO
5003495;C0601 - Canina - AV. GENERAL PERON Nº11;06;TETUAN;062;CUATRO CAMINOS;01/08/13;AVENIDA;GENERAL PERON;11;11029983;CANINAS;1;ACTIVO
5003496;C0602 - Canina - AV. BRASIL - C/ SAN GERMAN;06;TETUAN;062;CUATRO CAMINOS;01/08/13;CALLE;SAN GERMAN;7;31043689;CANINAS;1;ACTIVO
5003497;C0603 - Canina - AV. BRASIL - C/ POETA JOAN MARAGALL;06;TETUAN;063;CASTILLEJOS;01/08/13;AVENIDA;BRASIL;25;20127808;CANINAS;1;ACTIVO
5003499;C0605 - Canina - C/ GABRIEL PORTADALES Nº11;06;TETUAN;065;VALDEACEDERAS;01/08/13;CALLE;GABRIEL PORTADALES;11;11033480;CANINAS;1;ACTIVO
5003500;C0606 - Canina - AV. ASTURIAS - VENTILLA;06;TETUAN;064;ALMENARA;01/08/13;AVENIDA;ASTURIAS;74;31042814;CANINAS;1;ACTIVO
5003501;C0607 - Canina - C/ VIA LIMITE Nº69 - PARQUE VENTILLA;06;TETUAN;064;ALMENARA;01/08/13;;;;;CANINAS;1;ACTIVO
5003681;C0608 - Canina - C/ SINESIO DELGADO Nº - PARQUE VENTILLA;06;TETUAN;064;ALMENARA;01/08/13;CALLE;SINESIO DELGADO;7;11032624;CANINAS;1;ACTIVO
5005553;C0609 - Canina - C/ PINOS ALTA - C/ CAÑAVERAL;06;TETUAN;064;ALMENARA;01/08/13;CALLE;CAÑAVERAL;2;11031014;CANINAS;1;ACTIVO
5005554;C0610 - Canina - C/ PLATANO - C/ VEZA;06;TETUAN;065;VALDEACEDERAS;01/08/13;CALLE;VEZA;43;11033931;CANINAS;1;ACTIVO
5025010;C1586-Canina-TRAVESIA VAZQUEZ DE MELLA 6;15;CIUDAD LINEAL;152;PUEBLO NUEVO;13/02/19;TRAVESIA;VAZQUEZ DE MELLA;6;20078446;CANINAS DE JUEGOS;9;ACTIVO
5107903;C0103 - Canina - CALLE BARCELÓ;01;CENTRO;014;JUSTICIA;12/02/19;CALLE;BARCELO;2;11005231;CANINAS DE JUEGOS;7;ACTIVO
5003458;C0102 - Canina - PARQUE CASINO REINA;01;CENTRO;012;EMBAJADORES;01/08/13;CALLE;CASINO;3;11002270;CANINAS;0;ACTIVO
4998011;C0308 - Canina;03;RETIRO;032;ADELFAS;15/09/18;CALLE;CERRO NEGRO;14;31020479;CANINAS;0;ACTIVO
5148516;C0309 - Canina;03;RETIRO;031;PACIFICO;04/07/19;CALLE;COCHERAS;8;20001216;CANINAS;0;ACTIVO
3568726;C0853 - Canina;08;FUENCARRAL-EL PARDO;085;LA PAZ;01/03/17;CALLE;PEDRO RICO;1;20103366;CANINAS DE JUEGOS;7;ACTIVO
5003442;C0101 - Canina - VILLA DE PARIS;01;CENTRO;014;JUSTICIA;01/08/13;CALLE;ORELLANA;23;20103456;CANINAS;7;INACTIVO
